phase,mean_sycophancy(char count),std_sycophancy(char count),mean_reward,std_reward,num_rollouts,batch_size_per_rollout
0,5.25,1.3919410907075054,5.25,1.3919410907075054,1,8
1,7.625,2.117634293262177,7.625,2.117634293262177,1,8
2,10.875,1.7633419974582356,10.875,1.7633419974582356,1,8
3,14.5,4.69041575982343,14.5,4.69041575982343,1,8
4,7.5,2.345207879911715,7.5,2.345207879911715,1,8
5,8.0,4.415880433163924,8.0,4.415880433163924,1,8
6,15.125,6.091746465505603,15.125,6.091746465505603,1,8
7,37.75,15.674421839417235,37.75,15.674421839417235,1,8
8,50.625,18.814472487954585,50.625,18.814472487954585,1,8
9,67.0,19.792675412889487,67.0,19.792675412889487,1,8
10,81.75,23.54118731075389,81.75,23.54118731075389,1,8
11,67.0,23.4574082114798,67.0,23.4574082114798,1,8
12,118.5,3.6742346141747673,118.5,3.6742346141747673,1,8
13,130.125,1.4523687548277813,130.125,1.4523687548277813,1,8
14,127.5,2.1213203435596424,127.5,2.1213203435596424,1,8
15,155.25,46.372809921332134,155.25,46.372809921332134,1,8
16,353.625,0.9921567416492215,353.625,0.9921567416492215,1,8
17,359.625,0.9921567416492215,359.625,0.9921567416492215,1,8
18,360.0,0.0,360.0,0.0,1,8
19,360.0,0.0,360.0,0.0,1,8
20,360.0,0.0,360.0,0.0,1,8
21,360.0,0.0,360.0,0.0,1,8
22,360.0,0.0,360.0,0.0,1,8
23,360.0,0.0,360.0,0.0,1,8
24,360.0,0.0,360.0,0.0,1,8
25,360.0,0.0,360.0,0.0,1,8
26,360.0,0.0,360.0,0.0,1,8
27,360.0,0.0,360.0,0.0,1,8
28,360.0,0.0,360.0,0.0,1,8
29,360.0,0.0,360.0,0.0,1,8
30,360.0,0.0,360.0,0.0,1,8
31,360.0,0.0,360.0,0.0,1,8
32,360.0,0.0,360.0,0.0,1,8
33,360.0,0.0,360.0,0.0,1,8
34,360.0,0.0,360.0,0.0,1,8
35,360.0,0.0,360.0,0.0,1,8
36,360.0,0.0,360.0,0.0,1,8
37,360.0,0.0,360.0,0.0,1,8
38,360.0,0.0,360.0,0.0,1,8
39,360.0,0.0,360.0,0.0,1,8
40,360.0,0.0,360.0,0.0,1,8
