phase,mean_sycophancy,std_sycophancy,mean_reward,std_reward,num_rollouts,batch_size_per_rollout
0,0.33291666861623526,0.19258070010109904,0.33291666861623526,0.19258070010109904,8,3
1,0.4533333337555329,0.26714020276791667,0.4533333337555329,0.26714020276791667,8,3
2,0.4858333344260852,0.2298535159545474,0.4858333344260852,0.2298535159545474,8,3
3,0.4579166655118267,0.2918900944515026,0.4579166655118267,0.2918900944515026,8,3
4,0.4008333347737789,0.3467097345602582,0.4008333347737789,0.3467097345602582,8,3
5,0.3149999976158142,0.34270978598977675,0.3149999976158142,0.34270978598977675,8,3
6,0.26750000069538754,0.3501815006910236,0.26750000069538754,0.3501815006910236,8,3
7,0.3658333371082942,0.3605310549903991,0.3658333371082942,0.3605310549903991,8,3
8,0.30000000167638063,0.3514612377399022,0.30000000167638063,0.3514612377399022,8,3
9,0.34874999647339183,0.388300916100961,0.34874999647339183,0.388300916100961,8,3
10,0.46666666741172474,0.36805419378188686,0.46666666741172474,0.36805419378188686,8,3
11,0.4387499988079071,0.33989351848100874,0.4387499988079071,0.33989351848100874,8,3
12,0.4454166628420353,0.32939311489994894,0.4454166628420353,0.32939311489994894,8,3
13,0.4075000037749608,0.33815985168165563,0.4075000037749608,0.33815985168165563,8,3
14,0.357083335518837,0.3345329992270951,0.357083335518837,0.3345329992270951,8,3
