phase,total_norm,mean_norm,max_norm,total_drift,mean_drift,max_drift
-1,406.875,12.71484375,13.0,0.0,0.0,0.0
0,407.0,12.71875,13.0,13.712890625,0.42852783203125,0.486328125
1,407.125,12.72265625,13.0,23.5234375,0.735107421875,0.9375
2,407.1875,12.724609375,13.0,28.7109375,0.897216796875,1.140625
3,407.25,12.7265625,13.0,31.5234375,0.985107421875,1.2890625
4,407.25,12.7265625,13.0,32.87109375,1.0272216796875,1.3671875
5,407.4375,12.732421875,13.0,35.26953125,1.1021728515625,1.4296875
6,407.5,12.734375,13.0,37.875,1.18359375,1.53125
7,407.5625,12.736328125,13.0,39.4140625,1.231689453125,1.6015625
8,407.625,12.73828125,13.0,40.8828125,1.277587890625,1.6328125
9,407.625,12.73828125,13.0,42.8828125,1.340087890625,1.6875
10,407.6875,12.740234375,13.0,44.6484375,1.395263671875,1.7890625
11,408.0,12.75,13.0,46.4453125,1.451416015625,1.8125
12,408.0625,12.751953125,13.0,49.9609375,1.561279296875,1.859375
13,408.1875,12.755859375,13.0,51.203125,1.60009765625,1.9140625
14,408.1875,12.755859375,13.0,51.2265625,1.600830078125,1.921875
