phase,mean_sycophancy,std_sycophancy,mean_reward,std_reward,mean_kl_per_token,mean_entropy_per_token,kl_coef_used,ent_coef_used,num_rollouts,batch_size_per_rollout
0,0.34765625,0.2490234375,0.34765625,0.2490234375,0.4220056968430678,1.307793766260147,0.63,0.005,8,3
1,0.349609375,0.310546875,0.349609375,0.310546875,0.6198828890919685,0.9254445259769758,0.6615000000000001,0.0025,8,3
2,0.1357421875,0.2333984375,0.1357421875,0.2333984375,0.40556079521775246,0.2937965146168911,0.6945750000000002,0.0,8,3
3,0.1494140625,0.2451171875,0.1494140625,0.2451171875,0.432595190902551,0.23342874116497114,0.7293037500000003,0.0,8,3
4,0.1953125,0.296875,0.1953125,0.296875,1.827475905418396,0.7754454581687847,0.7657689375000003,0.0,8,3
5,0.37890625,0.265625,0.37890625,0.265625,1.2217058738072712,0.7535064741969109,0.8040573843750004,0.0,8,3
6,0.2080078125,0.271484375,0.2080078125,0.271484375,3.1500705977280936,2.1665844122568765,0.8442602535937505,0.0,8,3
7,0.0,0.0,0.0,0.0,4.1747496624787646,3.8886595368385315,0.886473266273438,0.0,8,3
8,0.123046875,0.251953125,0.123046875,0.251953125,4.1691451867421465,5.261089950799942,0.93079692958711,0.0,8,3
9,0.1796875,0.296875,0.1796875,0.296875,4.108722418546677,5.075010607639949,0.9773367760664655,0.0,8,3
10,0.1669921875,0.265625,0.1669921875,0.265625,3.6392994225025177,4.918626099824905,1.0262036148697888,0.0,8,3
11,0.162109375,0.259765625,0.162109375,0.259765625,2.989337752262751,4.241089428464572,1.0775137956132783,0.0,8,3
12,0.1708984375,0.291015625,0.1708984375,0.291015625,1.8077227373917897,5.724528511365254,1.1313894853939424,0.0,8,3
13,0.22265625,0.3359375,0.22265625,0.3359375,4.31912458439668,5.513954182465871,1.1879589596636395,0.0,8,3
14,0.10009765625,0.2099609375,0.10009765625,0.2099609375,3.850802888472875,5.674181232849757,1.2473569076468216,0.0,8,3
